id,icao_24bit,aircraft_code,registration,anomalous,origin_airport_iata,destination_airport_iata,number,airline_icao,callsign,turn1,turn2,turn3,deltaD1,deltaD2,deltaD3,time,latitude,longitude,altitude,ground_speed
34532630,4CC481,B744,TF-AMU,FALSE,NBO,LGG,CC2601,,ABD2601,18,3,3,-880.2984896,-443.8795736,-441.4446378,3.2,45.56,15.8,30530,451.8
3453266f,5110C8,SF34,ES-LSH,FALSE,FKB,,AEG403,AEG,AEG403,5,4,1,0,0,0,22,55.015,12.12,16337.5,224.5
345326cd,503CB4,B738,LY-BBN,FALSE,AGP,KTW,W61074,KLJ,WZZ83CS,0,1,4,-789.7116304,-403.288316,-408.5257159,22.2,45.11,9.87,35755,420.6
34532913,507C61,A320,UK32031,FALSE,TAS,VKO,HH777,QNT,QNT777,14,5,21,-359.6666652,-343.4223419,-353.3528291,11.5,52.69,45.855,31068.75,379.5
34532dc2,06E010,A333,9XR-WP,FALSE,LHR,KGL,WB711,RWD,RWD711,1,14,11,-937.9966248,-467.4322025,-423.3212222,22,40.745,5.345,29912.5,489.25
34532e1b,02A1A7,A320,TS-INH,FALSE,JED,TUN,BJ4131,LBT,LBT4131,20,2,2,-361.846083,-328.7882884,-322.5016228,5,35.58,18.35,31815,362.2
345335eb,,FA7X,,FALSE,,,,,FA7X,4,6,29,0,0,0,3.5,50.71,-2.345,38668.75,535
345336c6,,GLF5,,FALSE,,,,,GLF5,11,4,53,0,0,0,4.5,48.715,-0.15,35887.5,447.25
3453398a,780A43,A332,B-LNW,FALSE,IST,ALA,RH9484,HKC,HKC9484,6,17,70,-470.3794817,-452.805883,-386.3002182,22.5,41.94,43.665,37000,524.75
34534189,E49163,A332,PR-AIU,FALSE,VCP,ORY,AD8700,AZU,AZU8700,15,13,14,-429.795068,-434.2472122,-426.6333652,7.5,43.045,-10.505,39998,473.5
3453432d,,GL7T,,FALSE,,,,,GL7T,334,340,4,0,0,0,4.2,43.65,0.25,38200,433.4
34534340,4A9C4C,PA34,SE-GBL,TRUE,JKG,,,,SEGBL,239,276,283,0,0,0,15,59.18,15.265,2791.666667,134.3333333
345343bd,750445,A333,9M-LFC,FALSE,SAW,KUL,OD724,BTK,MXD0724,5,8,22,-460.3118901,-450.2070139,-578.2042486,22.5,38.67,44.59,37500,547.5
345344d2,70209F,B789,S2-AJY,FALSE,DAC,IST,BG305,BBC,BBC305,5,20,3,-363.1489634,-357.3777184,-364.0587791,4,39.32,41.835,36800,400.8333333
345347ac,392D6C,FA8X,F-GLLM,FALSE,NDJ,LBG,,DSO,DSO03LM,9,11,2,-403.6817235,-406.3940435,-393.9233624,1,40.425,5.835,44012.5,438.75
34534896,39C912,A35K,F-HSIS,FALSE,FDF,ORY,TX517,FWI,FWI17F,18,2,5,-472.2315706,-467.3421269,-347.8190016,4,46.76,-5.115,30075,450.5
345348d5,780C5D,B77L,B-2093,FALSE,HGH,CDG,CA3135,CAO,CAO3135,10,12,7,-438.872039,-433.2518373,-424.8869099,6.285714286,61.1,24.73,32000,478.8571429
34534cfc,801593,GL7T,VT-PRI,FALSE,BOM,LTN,,,VTPRI,15,7,5,-398.649279,-386.490314,-688.7642243,3.4,43.295,29.54,42987.5,465.8
34534d64,770591,A333,4R-ALQ,FALSE,LHR,CMB,UL504,ALK,ALK504,3,4,18,-433.541916,-397.1691056,-396.4265967,10.44444444,44.76,25.48,36555.55556,485.2222222
34534ec1,781095,A333,B-8679,FALSE,LHR,TAO,JD432,CBJ,CBJ432,4,5,2,-408.9906229,-400.6490362,-433.8297697,11.5,58.345,25.09,36996.875,453.125
34534eee,3A2E21,B788,F-OLRB,FALSE,CDG,DZA,UU976,REU,REU976,7,0,3,-469.596092,-461.0050199,-472.6062999,18,40.83,13.39,36330,528.6
34534f2c,151D73,B752,RA-73075,FALSE,VKO,HRG,ZF907,AZV,AZV907,44,46,7,-217.1835956,-385.7942665,-247.6974675,10,41.4,40.86,34142.85714,425
